parameter,zipf_K,exponential_K,logistic_K
2.8000000000000003,0.6571445750874518,0.8850322934618786,0.0027747316673396335
2.81,0.6596043135550438,0.8861112808291708,0.002774775884047516
2.82,0.6620472574245011,0.8871807460371016,0.002774819867057364
2.83,0.6644734978323305,0.888240761814376,0.0027748636190976506
2.84,0.6668831260755367,0.8892914005467613,0.0027749071428487403
2.85,0.6692762335869582,0.8903327342744365,0.002774950440943726
2.86,0.6716529119115682,0.8913648346894429,0.0027749935159692815
2.87,0.6740132526836983,0.8923877731332485,0.002775036370466472
2.88,0.6763573476051481,0.8934016205944125,0.0027750790069315644
2.89,0.6786852884241483,0.8944064477063562,0.0027751214278168177
2.9,0.6809971669151487,0.8954023247452348,0.0027751636355312663
2.91,0.6832930748593914,0.8963893216279077,0.0027752056324414783
2.92,0.6855731040262469,0.8973675079100113,0.0027752474208723086
2.93,0.6878373461552801,0.8983369527841214,0.002775289003107647
2.94,0.6900858929390199,0.8992977250780172,0.0027753303813911234
2.95,0.692318836006407,0.9002498932530337,0.0027753715579268475
2.96,0.69453626690689,0.9011935254025091,0.002775412534880084
2.97,0.696738277095155,0.9021286892503178,0.002775453314377957
2.98,0.698924957916451,0.9030554521494939,0.0027754938985101287
2.99,0.7010964005925019,0.9039738810809426,0.0027755342893294485
3.0,0.7032526962079784,0.9048840426522333,0.002775574488852626
3.0100000000000002,0.7053939356975037,0.9057860030964784,0.002775614499060857
3.02,0.7075202098331888,0.9066798282712909,0.0027756543219004674
3.0300000000000002,0.7096316092126512,0.9075655836578234,0.0027756939592835316
3.04,0.7117282242475368,0.9084433343598899,0.002775733413088475
3.0500000000000003,0.713810145152486,0.909313145103156,0.002775772685160683
3.06,0.7158774619345608,0.9101750802344111,0.0027758117773130885
3.0700000000000003,0.7179302643830965,0.9110292037209122,0.0027758506913267457
3.08,0.7199686420599707,0.9118755791498001,0.0027758894289514084
3.09,0.7219926842902725,0.9127142697275878,0.0027759279919060834
3.1,0.7240024801533618,0.913545338279716,0.0027759663818795887
3.11,0.7259981184742909,0.9143688472501782,0.0027760046005310844
3.12,0.7279796878155997,0.9151848587012139,0.0027760426494906096
3.13,0.7299472764694462,0.9159934343130621,0.002776080530359611
3.14,0.7319009724500756,0.9167946353837857,0.002776118244711452
3.15,0.7338408634866104,0.9175885228291512,0.002776155794091916
3.16,0.7357670370161545,0.9183751571825743,0.002776193180019708
3.17,0.7376795801771943,0.9191545985951235,0.00277623040398694
3.18,0.7395785798032919,0.9199269068355825,0.002776267467459616
